Auction Title ,Auction ID,Department ,Close Date ,Winning Bid ,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status ,Paid Date ,Asset #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number ,Cap,Expenses,Net Sales,Fund,Business Unit
Black & Decker Trimmer,85702,POLICE VEHICLE IMPOUND,12/11/2014,$11.00,$0.25,0.23,$2.53,$2.53,Successful,12/15/2014,,IM-123426A,,,3630696505,$3000,$0.00,$8.47,General Fund,0
Schwinn Kids Barbie Bike,85703,POLICE VEHICLE IMPOUND,12/11/2014,$25.00,$0.58,0.23,$5.75,$5.75,Successful,12/15/2014,,IM-1071731,,,3630696512,$3000,$0.00,$19.25,General Fund,0
Upland Bike,85705,POLICE VEHICLE IMPOUND,12/11/2014,$24.00,$0.55,0.23,$5.52,$5.52,Successful,12/11/2014,,IM-148874,,,3630506365,$3000,$0.00,$18.48,General Fund,0
Mongoose Bike,85706,POLICE VEHICLE IMPOUND,12/11/2014,$43.00,$0.99,0.23,$9.89,$9.89,Successful,12/11/2014,,IM-1058546,,,3630506367,$3000,$0.00,$33.11,General Fund,0
Mongoose Bike,85707,POLICE VEHICLE IMPOUND,12/11/2014,$28.00,$0.00,0.23,$6.44,$6.44,Successful,12/15/2014,,IM-116903,,,Cashiers Check,$3000,$0.00,$21.56,General Fund,0
Centurion Bike,85708,POLICE VEHICLE IMPOUND,12/11/2014,$84.00,$0.00,0.23,$19.32,$19.32,Successful,12/15/2014,,IM-121547,,,Cashiers Check,$3000,$0.00,$64.68,General Fund,0
Shimano Bike,85711,POLICE VEHICLE IMPOUND,12/11/2014,$65.00,$1.50,0.23,$14.95,$14.95,Successful,12/18/2014,,IM-652351,,,3630920053,$3000,$0.00,$50.05,General Fund,0
Kent Bike,85712,POLICE VEHICLE IMPOUND,12/11/2014,$25.00,$0.00,0.23,$5.75,$5.75,Successful,12/15/2014,,IM-1062269,,,Cashiers Check,$3000,$0.00,$19.25,General Fund,0
Pacific Bike,85715,POLICE VEHICLE IMPOUND,12/11/2014,$28.00,$0.64,0.23,$6.44,$6.44,Successful,12/11/2014,,IM-101371,,,3630506369,$3000,$0.00,$21.56,General Fund,0
"Vizio 42"" LCD Flat Screen TV",85716,DRUG TASK FORCE,12/09/2014,$171.01,$3.93,0.23,$39.33,$39.33,Successful,12/15/2014,,TF-321-013,,,3630704214,$3000,$0.00,$131.68,Enterprise,0
"Samsung 60"" LED Smart Flat Screen TV",85717,DRUG TASK FORCE,12/09/2014,$665.05,$0.00,0.23,$152.96,$152.96,Successful,12/09/2014,,TF-321-018,,,Money Order,$3000,$0.00,$512.09,Enterprise,0
"24"" Asanti Rims w/Tires",85718,DRUG TASK FORCE,12/09/2014,$890.99,$20.49,0.23,$204.93,$204.93,Successful,12/09/2014,,TF-321-010,,,3630307435,$3000,$0.00,$686.06,Enterprise,0
"Pacific 15-Speed 26"" Mens Bike",85719,DRUG TASK FORCE,12/09/2014,$67.00,$1.54,0.23,$15.41,$15.41,Successful,12/10/2014,,TF-321-008,,,3630422244,$3000,$0.00,$51.59,Enterprise,0
XBox 360,85720,DRUG TASK FORCE,12/09/2014,$141.33,$0.00,0.23,$32.51,$32.51,Successful,12/11/2014,,TF-321-019,,,Money Order,$3000,$0.00,$108.82,Enterprise,0
"2 JL Audio 12"" Subwoofers",85721,DRUG TASK FORCE,12/09/2014,$96.00,$2.21,0.23,$22.08,$22.08,Successful,12/16/2014,,TF-321-007,,,3630758380,$3000,$0.00,$73.92,Enterprise,0
"HP 22"" HD Flat Screen Monitor",85722,DRUG TASK FORCE,12/09/2014,$44.00,$1.01,0.23,$10.12,$10.12,Successful,12/09/2014,,TF-321-016,,,3630350682,$3000,$0.00,$33.88,Enterprise,0
Phonic Powered Mixer,85723,DRUG TASK FORCE,12/09/2014,$96.00,$2.21,0.23,$22.08,$22.08,Successful,12/11/2014,,TF-321-015,,,3630502462,$3000,$0.00,$73.92,Enterprise,0
"2 Kustom 15"" Speakers",85724,DRUG TASK FORCE,12/10/2014,$87.01,$2.00,0.23,$20.01,$20.01,Successful,12/11/2014,,TF-321-014,,,3630502464,$3000,$0.00,$67.00,Enterprise,0
Sony Xplod 1200 Watt Amplifier,85725,DRUG TASK FORCE,12/10/2014,$76.00,$1.75,0.23,$17.48,$17.48,Successful,12/12/2014,,TF-321-006,,,3630570401,$3000,$0.00,$58.52,Enterprise,0
Garmin GPS,85727,DRUG TASK FORCE,12/10/2014,$49.00,$0.00,0.23,$11.27,$11.27,Successful,12/18/2014,,TF-321-005,,,Money Order,$3000,$0.00,$37.73,Enterprise,0
Apple MacBook Pro,85728,DRUG TASK FORCE,12/10/2014,$525.00,$0.00,0.23,$120.75,$120.75,Successful,12/15/2014,,TF-321-020,,,Cashiers Check,$3000,$0.00,$404.25,Enterprise,0
Acer Laptop,85729,DRUG TASK FORCE,12/10/2014,$94.00,$2.16,0.23,$21.62,$21.62,Successful,12/22/2014,,TF-321-001,,,3631092129,$3000,$0.00,$72.38,Enterprise,0
Dell XPS Computer,85730,DRUG TASK FORCE,12/10/2014,$175.00,$0.00,0.23,$40.25,$40.25,Successful,12/11/2014,,"TF-321-002, TF-321-003",,,Money Order,$3000,$0.00,$134.75,Enterprise,0
300 Student Desks,85732,SCHOOL BOARD WAREHOUSE,12/08/2014,$135.00,$3.10,0.23,$31.05,$31.05,Successful,12/08/2014,,SBS-7237,,,3630244828,$3000,$0.00,$103.95,Enterprise,0
Office Electronics,85733,ITS,12/15/2014,$52.98,$0.00,0.23,$12.19,$12.19,Successful,12/23/2014,,"77289, 77290, 77532, 77549, 77553, 77568, 77575, 77612, 82991, 82992, 87497, 87498",,,Money Order,$3000,$0.00,$40.79,General Fund,0
Office Electronics,85734,ITS,12/15/2014,$865.00,$0.00,0.23,$198.95,$198.95,Successful,12/17/2014,,"87522, 87495, 87494, 87493, 87496, 82124, 87507, 87532, 87460, 87458, 87457, 87505, 87499, 87500, 79718, 87506, 87503, 87502, 87501, 87504, 87456, 87459, 87455",,,Cashiers Check,$3000,$0.00,$666.05,General Fund,0
Printer Stand,85735,PUBLIC LIBRARY,12/15/2014,$2.00,$0.00,0.23,$0.46,$0.46,Successful,12/15/2014,,88634,,,Cashiers Check,$3000,$0.00,$1.54,General Fund,0
Bar Stool,85736,PUBLIC LIBRARY,12/15/2014,$13.50,$0.31,0.23,$3.11,$3.11,Successful,12/16/2014,,88233,,,3630773937,$3000,$0.00,$10.40,General Fund,0
Office Chair,85737,PUBLIC LIBRARY,12/15/2014,$5.00,$0.12,0.23,$1.15,$1.15,Successful,12/17/2014,,88232,,,3630874374,$3000,$0.00,$3.85,General Fund,0
Chair,85738,MDHA,12/15/2014,$7.00,$0.16,0.23,$1.61,$1.61,Successful,12/17/2014,,MDHA-81366,,,3630874375,$3000,$0.00,$5.39,Enterprise,0
Assorted Tools,85739,HEALTH,12/15/2014,$180.00,$4.14,0.23,$41.40,$41.40,Successful,12/15/2014,,83748B,,,3630729952,$3000,$0.00,$138.60,General Fund,0
Dolly,85741,HEALTH,12/15/2014,$16.00,$0.37,0.23,$3.68,$3.68,Successful,12/15/2014,,83748D,,,3630733610,$3000,$0.00,$12.32,General Fund,0
"Milwaukee 1/2"" 12v Drill",85742,HEALTH,12/15/2014,$10.00,$0.23,0.23,$2.30,$2.30,Successful,12/15/2014,,83746,,,3630713466,$3000,$0.00,$7.70,General Fund,0
Brother Electric Typewriter,85743,HEALTH,12/15/2014,$1.00,$0.02,0.23,$0.23,$0.23,Successful,12/18/2014,,83747,,,3630933796,$3000,$0.00,$0.77,General Fund,0
Table,85744,HEALTH,12/15/2014,$5.40,$0.12,0.23,$1.24,$1.24,Successful,12/18/2014,,86356,,,3630920054,$3000,$0.00,$4.16,General Fund,0
Printer Stand,85745,HEALTH,12/15/2014,$6.00,$0.00,0.23,$1.38,$1.38,Successful,12/15/2014,,86353,,,Cashiers Check,$3000,$0.00,$4.62,General Fund,0
Cabinet,85746,HEALTH,12/15/2014,$11.00,$0.25,0.23,$2.53,$2.53,Successful,12/18/2014,,86386,,,3630919047,$3000,$0.00,$8.47,General Fund,0
Hon File Cabinet,85747,HEALTH,12/15/2014,$12.00,$0.00,0.23,$2.76,$2.76,Successful,12/15/2014,,83744,,,Cashiers Check,$3000,$0.00,$9.24,General Fund,0
Office Depot File Cabinet,85748,HEALTH,12/15/2014,$18.00,$0.41,0.23,$4.14,$4.14,Successful,12/16/2014,,86380,,,3630790045,$3000,$0.00,$13.86,General Fund,0
Coronet Cabinet,85749,HEALTH,12/15/2014,$33.13,$0.76,0.23,$7.62,$7.62,Successful,12/17/2014,,86387,,,3630849796,$3000,$0.00,$25.51,General Fund,0
Hon Book Shelf,85750,HEALTH,12/15/2014,$8.00,$0.18,0.23,$1.84,$1.84,Successful,12/18/2014,,86376,,,3630897813,$3000,$0.00,$6.16,General Fund,0
2 Globe End Tables,85751,HEALTH,12/15/2014,$10.00,$0.23,0.23,$2.30,$2.30,Successful,12/16/2014,,"86355, 86357",,,3630759316,$3000,$0.00,$7.70,General Fund,0
Panasonic Electronic Print Board,85754,HEALTH,12/15/2014,$65.00,$0.00,0.23,$14.95,$14.95,Successful,12/15/2014,,87075,,,Cashiers Check,$3000,$0.00,$50.05,General Fund,0
Telephones,85755,PUBLIC LIBRARY,12/16/2014,$78.00,$0.00,0.23,$17.94,$17.94,Successful,12/23/2014,,88875,,,Money Order,$3000,$0.00,$60.06,General Fund,0
Dell Computer,85756,ITS,12/16/2014,$47.00,$0.00,0.23,$10.81,$10.81,Successful,12/17/2014,,87864,,,Money Order,$3000,$0.00,$36.19,General Fund,0
Dell Computer,85757,ITS,12/16/2014,$85.00,$0.00,0.23,$19.55,$19.55,Successful,12/22/2014,,88061,,,Cashiers Check,$3000,$0.00,$65.45,General Fund,0
Dell Computer,85758,ITS,12/16/2014,$82.01,$0.00,0.23,$18.86,$18.86,Successful,12/22/2014,,87861,,,Cashiers Check,$3000,$0.00,$63.15,General Fund,0
Dell Laptop,85759,ITS,12/16/2014,$130.00,$2.99,0.23,$29.90,$29.90,Successful,12/18/2014,,87867,,,3630919744,$3000,$0.00,$100.10,General Fund,0
Dell Laptop,85760,ITS,12/16/2014,$151.00,$3.47,0.23,$34.73,$34.73,Successful,12/16/2014,,87866,,,3630786950,$3000,$0.00,$116.27,General Fund,0
Dell Laptop,85762,ITS,12/16/2014,$118.00,$2.71,0.23,$27.14,$27.14,Successful,12/18/2014,,87865,,,3630915476,$3000,$0.00,$90.86,General Fund,0
Dell Laptop,85765,POLICE DEPARTMENT,12/16/2014,$63.99,$0.00,0.23,$14.72,$14.72,Successful,12/23/2014,,89376,,,Money Order,$3000,$0.00,$49.27,General Fund,0
Dell Laptop,85766,POLICE DEPARTMENT,12/16/2014,$74.00,$0.00,0.23,$17.02,$17.02,Successful,12/23/2014,,89378,,,Money Order,$3000,$0.00,$56.98,General Fund,0
"Dell 17"" Monitor",85767,POLICE DEPARTMENT,12/16/2014,$12.00,$0.28,0.23,$2.76,$2.76,Successful,12/18/2014,,89331,,,3630910689,$3000,$0.00,$9.24,General Fund,0
"Dell 17"" Monitor",85768,POLICE DEPARTMENT,12/16/2014,$12.00,$0.28,0.23,$2.76,$2.76,Successful,12/22/2014,,89332,,,3631119885,$3000,$0.00,$9.24,General Fund,0
"Dell 19"" Monitor",85770,POLICE DEPARTMENT,12/16/2014,$21.00,$0.48,0.23,$4.83,$4.83,Successful,12/18/2014,,89312,,,3630913141,$3000,$0.00,$16.17,General Fund,0
"Dell 19"" Monitor",85771,POLICE DEPARTMENT,12/16/2014,$21.00,$0.48,0.23,$4.83,$4.83,Successful,12/18/2014,,89344,,,3630910692,$3000,$0.00,$16.17,General Fund,0
"Dell 19"" Monitor",85772,POLICE DEPARTMENT,12/16/2014,$12.00,$0.28,0.23,$2.76,$2.76,Successful,12/19/2014,,89329,,,3630959208,$3000,$0.00,$9.24,General Fund,0
2003 Ford E-350,85775,OFM-PUBLIC WORKS,12/08/2014,$5301.00,$0.00,0.23,$1219.23,$1219.23,Successful,12/09/2014,80000774,,08L 5909,,Cashiers Check,$3000,$0.00,$4081.77,Enterprise,0
2004 Nissan Titan,85776,DRUG TASK FORCE,12/08/2014,$7551.00,$0.00,0.23,$1736.73,$1736.73,Successful,12/08/2014,,TF-321-023,20-0115,,Cashiers Check,$3000,$0.00,$5814.27,Enterprise,0
2004 Mercedes E55,85777,DRUG TASK FORCE,12/08/2014,$5310.00,$0.00,0.23,$1221.30,$1221.30,Successful,12/10/2014,,TF-321-025,,1016638,Cashiers Check,$3000,$0.00,$4088.70,Enterprise,0
2010 Suzuki Kizashi,85778,DRUG TASK FORCE,12/08/2014,$4525.00,$0.00,0.23,$1040.75,$1040.75,Successful,12/08/2014,,TF-321-027,,1034159,Cashiers Check,$3000,$145.00,$3339.25,Enterprise,0
2003 Ford F-150,85780,POLICE STATE DRUG FUND,12/08/2014,$3025.00,$69.58,0.23,$695.75,$695.75,Successful,12/16/2014,,,,110136,3630775297,$3000,$145.00,$2184.25,Enterprise,0
2000 Pace Enclosed Trailer,85781,DRUG TASK FORCE,12/08/2014,$1300.00,$0.00,0.23,$299.00,$299.00,Successful,12/09/2014,,TF-321-022,,,Cashiers Check,$3000,$0.00,$1001.00,Enterprise,0
2012 Honda CBR,85782,DRUG TASK FORCE,12/08/2014,$4625.00,$0.00,0.23,$1063.75,$1063.75,Successful,12/09/2014,,TF-321-024,TF-321-024,,Cashiers Check,$3000,$0.00,$3561.25,Enterprise,0
Mini Bike,85783,POLICE STATE FELONY FORFEITURE,12/11/2014,$410.00,$0.00,0.23,$94.30,$94.30,Successful,12/15/2014,,IM-961835,,,Cashiers Check,$3000,$0.00,$315.70,Enterprise,0
Next Bike,85785,POLICE STATE FELONY FORFEITURE,12/11/2014,$25.00,$0.00,0.23,$5.75,$5.75,Successful,12/15/2014,,IM-657338,,,Cashiers Check,$3000,$0.00,$19.25,Enterprise,0
Next Bike,85786,POLICE STATE FELONY FORFEITURE,12/11/2014,$19.44,$0.45,0.23,$4.47,$4.47,Successful,12/15/2014,,IM-1004205,,,3630696516,$3000,$0.00,$14.97,Enterprise,0
Mongoose Bike,85788,POLICE STATE FELONY FORFEITURE,12/11/2014,$31.00,$0.71,0.23,$7.13,$7.13,Successful,12/22/2014,,IM-657340,,,3631119894,$3000,$0.00,$23.87,Enterprise,0
BMX Bike,85789,POLICE VEHICLE IMPOUND,12/11/2014,$23.00,$0.00,0.23,$5.29,$5.29,Successful,12/15/2014,,IM-1064995,,,Cashiers Check,$3000,$0.00,$17.71,General Fund,0
Bike,85790,POLICE VEHICLE IMPOUND,12/15/2014,$10.50,$0.24,0.23,$2.42,$2.42,Successful,12/15/2014,,IM-114032,,,3630733613,$3000,$0.00,$8.09,General Fund,0
Voltage Bike,85791,POLICE VEHICLE IMPOUND,12/15/2014,$29.01,$0.67,0.23,$6.67,$6.67,Successful,12/18/2014,,IM-1053266,,,3630893038,$3000,$0.00,$22.34,General Fund,0
Gas Can,85792,POLICE VEHICLE IMPOUND,12/15/2014,$4.02,$0.09,0.23,$0.92,$0.92,Successful,12/16/2014,,IM-1010349,,,3630756768,$3000,$0.00,$3.10,General Fund,0
Razor Mini Bike,85793,POLICE VEHICLE IMPOUND,12/15/2014,$47.00,$0.00,0.23,$10.81,$10.81,Successful,12/18/2014,,IM-148088,,,Cashiers Check,$3000,$0.00,$36.19,General Fund,0
Jordan Tennis Shoes,85794,DRUG TASK FORCE,12/15/2014,$35.01,$0.81,0.23,$8.05,$8.05,Successful,12/21/2014,,TF-319-055X,,,3631081305,$3000,$0.00,$26.96,Enterprise,0
XBox 360,85795,DRUG TASK FORCE,12/15/2014,$103.00,$0.00,0.23,$23.69,$23.69,Successful,12/18/2014,,TF-319-053,,,Money Order,$3000,$0.00,$79.31,Enterprise,0
Dell Computer,85796,ITS,12/16/2014,$91.00,$0.00,0.23,$20.93,$20.93,Successful,12/22/2014,,83795,,,Cashiers Check,$3000,$0.00,$70.07,General Fund,0
Dell Computer,85797,ITS,12/16/2014,$89.00,$0.00,0.23,$20.47,$20.47,Successful,12/22/2014,,83789,,,Cashiers Check,$3000,$0.00,$68.53,General Fund,0
Dell Computer,85798,ITS,12/16/2014,$93.00,$0.00,0.23,$21.39,$21.39,Successful,12/22/2014,,83827,,,Cashiers Check,$3000,$0.00,$71.61,General Fund,0
Dell Computer,85799,ITS,12/16/2014,$81.00,$0.00,0.23,$18.63,$18.63,Successful,12/22/2014,,83829,,,Cashiers Check,$3000,$0.00,$62.37,General Fund,0
Dell Computer,85800,ITS,12/16/2014,$98.00,$0.00,0.23,$22.54,$22.54,Successful,12/22/2014,,83814,,,Cashiers Check,$3000,$0.00,$75.46,General Fund,0
Dell Computer,85801,ITS,12/16/2014,$79.00,$0.00,0.23,$18.17,$18.17,Successful,12/22/2014,,83812,,,Cashiers Check,$3000,$0.00,$60.83,General Fund,0
Dell Computer,85802,ITS,12/16/2014,$91.00,$0.00,0.23,$20.93,$20.93,Successful,12/22/2014,,83797,,,Cashiers Check,$3000,$0.00,$70.07,General Fund,0
Dell Computer,85803,ITS,12/16/2014,$93.00,$0.00,0.23,$21.39,$21.39,Successful,12/22/2014,,83798,,,Cashiers Check,$3000,$0.00,$71.61,General Fund,0
Dell Computer,85804,ITS,12/16/2014,$96.00,$0.00,0.23,$22.08,$22.08,Successful,12/22/2014,,83820,,,Cashiers Check,$3000,$0.00,$73.92,General Fund,0
Dell Computer,85805,ITS,12/16/2014,$95.00,$0.00,0.23,$21.85,$21.85,Successful,12/22/2014,,83815,,,Cashiers Check,$3000,$0.00,$73.15,General Fund,0
Dell Laptop,85807,ITS,12/16/2014,$7.50,$0.17,0.23,$1.73,$1.73,Successful,12/18/2014,,83830,,,3630915237,$3000,$0.00,$5.78,General Fund,0
Dell Laptop,85813,NASHVILLE CONVENTION CTR,12/16/2014,$62.01,$0.00,0.23,$14.26,$14.26,Successful,12/16/2014,,NCC-87980,,,Money Order,$3000,$0.00,$47.75,Enterprise,0
Dell Laptop,85814,NASHVILLE CONVENTION CTR,12/16/2014,$63.00,$0.00,0.23,$14.49,$14.49,Successful,12/16/2014,,NCC-87987,,,Money Order,$3000,$0.00,$48.51,Enterprise,0
Surveillance Equipment,85816,ITS,12/11/2014,$210.00,$4.83,0.23,$48.30,$48.30,Successful,12/11/2014,,"88980, 88981, 88982",,,3630519914,$3000,$0.00,$161.70,General Fund,0
Office Electronics,85818,ITS,12/11/2014,$360.00,$0.00,0.23,$82.80,$82.80,Successful,12/17/2014,,"89005, 89012, 83226, 83845, 77095, 83238, 83237, 89013, 89017, 89018, 83872, 83826, 83817, 83779, 83782, 83785, 83781, 83780, 83784, 83783, 83778",,,Money Order,$3000,$0.00,$277.20,General Fund,0
Servers & Amps,85819,ITS,12/11/2014,$138.00,$0.00,0.23,$31.74,$31.74,Successful,12/18/2014,,"89007, 89008, 89009, 89006, 89010, 89019, 88996, 89003, 89004, 89002, 89001, 89000, 88999",,,Cashiers Check,$3000,$0.00,$106.26,General Fund,0
43 Dell Computers,85821,ITS,12/11/2014,$1525.00,$0.00,0.23,$350.75,$350.75,Successful,12/15/2014,,"89098, 89091, 89075, 89101, 89074, 89088, 89082, 89103, 89083, 89104, 89089, 89108, 89086, 89106, 89087, 89109, 89097, 89076, 89105, 89081, 89095, 89090, 89093, 89078, 89099, 89080, 89102, 89096, 89077, 89079, 89100, 89084, 89092, 89107, 89094, 89085, 89111, 89110, 89059, 89060, 89061, 89058, 89054",,,Money Order,$3000,$0.00,$1174.25,General Fund,0
19 Dell Flat Screen Monitors,85822,ITS,12/11/2014,$102.00,$0.00,0.23,$23.46,$23.46,Successful,12/18/2014,,"89023, 89024, 89027, 89030, 89037, 89036, 89031, 89035, 89032, 89028, 89026, 89025, 89022, 89020, 89029, 89021, 89033, 89034, 89038",,,Cashiers Check,$3000,$0.00,$78.54,General Fund,0
Buffet Table,85824,BRIDGESTONE ARENA,12/11/2014,$57.11,$1.31,0.23,$13.14,$13.14,Successful,12/16/2014,,BA-87524,,,3630773436,$3000,$0.00,$43.97,Enterprise,0
Mail Sorter,85826,HEALTH,12/17/2014,$32.01,$0.74,0.23,$7.36,$7.36,Successful,12/17/2014,,85361A,,,3630849803,$3000,$0.00,$24.65,General Fund,0
Book Case,85827,HEALTH,12/17/2014,$21.21,$0.49,0.23,$4.88,$4.88,Successful,12/17/2014,,84864,,,3630870717,$3000,$0.00,$16.33,General Fund,0
Union Shovel,85828,HEALTH,12/17/2014,$10.11,$0.23,0.23,$2.33,$2.33,Successful,12/20/2014,,83748E,,,3631061964,$3000,$0.00,$7.78,General Fund,0
Dry Erase Board,85829,HEALTH,12/17/2014,$3.50,$0.08,0.23,$0.81,$0.81,Successful,12/18/2014,,79311,,,3630915895,$3000,$0.00,$2.70,General Fund,0
Quartet Dry Erase Board,85830,SOCIAL SERVICES,12/17/2014,$1.00,$0.02,0.23,$0.23,$0.23,Successful,12/18/2014,,80658,,,3630915697,$3000,$0.00,$0.77,General Fund,0
Lock Box,85832,WATER SERVICES,12/17/2014,$9.20,$0.21,0.23,$2.12,$2.12,Successful,12/17/2014,,WS-80186,,,3630870766,$3000,$0.00,$7.08,Enterprise,0
Lock Box,85833,WATER SERVICES,12/17/2014,$6.66,$0.15,0.23,$1.53,$1.53,Successful,12/17/2014,,WS-80187,,,3630870876,$3000,$0.00,$5.13,Enterprise,0
HP Color Laser Jet,85834,JUVENILE COURT,12/17/2014,$297.00,$6.83,0.23,$68.31,$68.31,Successful,12/17/2014,,86389,,,3630841963,$3000,$0.00,$228.69,General Fund,0
Laptops/PC's & Accessories,85835,ITS,12/17/2014,$985.00,$0.00,0.23,$226.55,$226.55,Successful,12/22/2014,,"86889, 86891, 85118, 86882, 85135, 85136, 83869, 85138, 85139, 85131, 85134, 85133, 85132, 85130, 85137, 86885, 86883, 86884, 85921, 85922, 85923, 86887, 86886, 84687, 84686",,,Cashiers Check,$3000,$0.00,$758.45,General Fund,0
13 Dell Laptops,85836,ITS,12/17/2014,$470.02,$0.00,0.23,$108.10,$108.10,Successful,12/22/2014,,"83835, 83836, 83837, 83832, 83850, 83846, 83833, 83834, 83831, 83234, 83233, 83851, 83853",,,Cashiers Check,$3000,$0.00,$361.92,General Fund,0
Dell Laptop,85837,ITS,12/17/2014,$234.00,$5.38,0.23,$53.82,$53.82,Successful,12/17/2014,,88591,,,3630839997,$3000,$0.00,$180.18,General Fund,0
Dell Laptop,85838,NASHVILLE CONVENTION CTR,12/17/2014,$50.01,$1.15,0.23,$11.50,$11.50,Successful,12/22/2014,,NCC-87984,,,3631097669,$3000,$0.00,$38.51,Enterprise,0
Dell Laptop,85839,NASHVILLE CONVENTION CTR,12/17/2014,$42.01,$0.00,0.23,$9.66,$9.66,Successful,12/22/2014,,NCC-87985,,,Cashiers Check,$3000,$0.00,$32.35,Enterprise,0
Dell Laptop,85840,NASHVILLE CONVENTION CTR,12/17/2014,$27.00,$0.00,0.23,$6.21,$6.21,Successful,12/22/2014,,NCC-87977,,,Cashiers Check,$3000,$0.00,$20.79,Enterprise,0
Dell Laptop,85841,NASHVILLE CONVENTION CTR,12/17/2014,$37.00,$0.85,0.23,$8.51,$8.51,Successful,12/18/2014,,NCC-87982,,,3630915563,$3000,$0.00,$28.49,Enterprise,0
Dell Laptop,85842,NASHVILLE CONVENTION CTR,12/17/2014,$40.01,$0.92,0.23,$9.20,$9.20,Successful,12/18/2014,,NCC-87978,,,3630915723,$3000,$0.00,$30.81,Enterprise,0
Admiral Refrigerator,85845,GENERAL SERVICES,12/17/2014,$13.50,$0.00,0.23,$3.11,$3.11,Successful,12/23/2014,,82736,,,Money Order,$3000,$0.00,$10.40,General Fund,0
Hon File Cabinet,85847,PARKS,12/17/2014,$9.25,$0.21,0.23,$2.13,$2.13,Successful,12/17/2014,,87298,,,3630843231,$3000,$0.00,$7.12,General Fund,0
File Cabinet,85848,PARKS,12/17/2014,$57.00,$1.31,0.23,$13.11,$13.11,Successful,12/17/2014,,87300,,,3630849806,$3000,$0.00,$43.89,General Fund,0
Storage Box,85849,PARKS,12/17/2014,$37.00,$0.85,0.23,$8.51,$8.51,Successful,12/22/2014,,87303,,,3631126871,$3000,$0.00,$28.49,General Fund,0
Assorted Hardware,85850,PARKS,12/17/2014,$21.00,$0.48,0.23,$4.83,$4.83,Successful,12/18/2014,,87304,,,3630920057,$3000,$0.00,$16.17,General Fund,0
Magazine Rack,85852,JIS,12/17/2014,$6.02,$0.14,0.23,$1.38,$1.38,Successful,12/18/2014,,83756,,,3630920062,$3000,$0.00,$4.64,General Fund,0
Bulletin Board,85853,MDHA,12/17/2014,$81.00,$1.86,0.23,$18.63,$18.63,Successful,12/17/2014,,MDHA-81191,,,3630849810,$3000,$0.00,$62.37,Enterprise,0
Tappan Refrigerator,85854,PUBLIC WORKS,12/17/2014,$8.00,$0.00,0.23,$1.84,$1.84,Successful,12/23/2014,,88065,,,Money Order,$3000,$0.00,$6.16,General Fund,0
IBM Electric Typewriter,85855,POLICE DEPARTMENT,12/17/2014,$11.70,$0.27,0.23,$2.69,$2.69,Successful,12/18/2014,,79879,,,3630913148,$3000,$0.00,$9.01,General Fund,0
"L.G. 50"" Flat Screen Plasma TV",85856,DRUG TASK FORCE,12/15/2014,$226.01,$0.00,0.23,$51.98,$51.98,Successful,12/22/2014,,TF-321-011,,,Cashiers Check,$3000,$0.00,$174.03,Enterprise,0
"L.G. 42"" Flat Screen Plasma TV",85857,DRUG TASK FORCE,12/15/2014,$88.00,$2.02,0.23,$20.24,$20.24,Successful,12/18/2014,,TF-321-009,,,3630893041,$3000,$0.00,$67.76,Enterprise,0
HP Laptop,85859,DRUG TASK FORCE,12/15/2014,$308.00,$7.08,0.23,$70.84,$70.84,Successful,12/15/2014,,TF-319-070,,,3630714294,$3000,$0.00,$237.16,Enterprise,0
Sony Handycam,85860,DRUG TASK FORCE,12/15/2014,$98.02,$2.25,0.23,$22.54,$22.54,Successful,12/15/2014,,TF-319-049,,,3630712559,$3000,$0.00,$75.48,Enterprise,0
4 PSP Games,85861,DRUG TASK FORCE,12/18/2014,$19.00,$0.00,0.23,$4.37,$4.37,Successful,12/18/2014,,TF-316-072,,,Money Order,$3000,$0.00,$14.63,Enterprise,0
2 PS3 Games,85862,DRUG TASK FORCE,12/18/2014,$11.00,$0.25,0.23,$2.53,$2.53,Successful,12/22/2014,,TF-316-090A,,,3631098365,$3000,$0.00,$8.47,Enterprise,0
2 PS3 Games,85863,DRUG TASK FORCE,12/18/2014,$7.00,$0.16,0.23,$1.61,$1.61,Successful,12/22/2014,,TF-316-090B,,,3631098368,$3000,$0.00,$5.39,Enterprise,0
2 PS3 Games,85864,DRUG TASK FORCE,12/18/2014,$12.00,$0.28,0.23,$2.76,$2.76,Successful,12/22/2014,,TF-316-090C,,,3631098371,$3000,$0.00,$9.24,Enterprise,0
2 PS3 Games,85865,DRUG TASK FORCE,12/18/2014,$1.00,$0.02,0.23,$0.23,$0.23,Successful,12/18/2014,,TF-316-090D,,,3630905794,$3000,$0.00,$0.77,Enterprise,0
2 PS3 Games,85866,DRUG TASK FORCE,12/18/2014,$14.14,$0.33,0.23,$3.25,$3.25,Successful,12/18/2014,,TF-316-090E,,,3630916213,$3000,$0.00,$10.89,Enterprise,0
2 PS3 Games,85867,DRUG TASK FORCE,12/18/2014,$12.00,$0.28,0.23,$2.76,$2.76,Successful,12/22/2014,,TF-316-090F,,,3631098375,$3000,$0.00,$9.24,Enterprise,0
2 PS3 Games,85868,DRUG TASK FORCE,12/18/2014,$10.00,$0.23,0.23,$2.30,$2.30,Successful,12/26/2014,,TF-316-090G,,,3631318719,$3000,$0.00,$7.70,Enterprise,0
